time_s,explicit_euler,semi_implicit_euler,leapfrog,rk4
12.8333,0.0988618,0.029059,0.0146759,0.000605102
12.85,0.098886,0.0290599,0.014675,0.000604257
12.8667,0.0989124,0.029061,0.0146764,0.000605694
12.8833,0.0989366,0.0290608,0.0146758,0.000604426
12.9,0.0989619,0.0290618,0.0146755,0.000605356
12.9167,0.0989867,0.0290614,0.0146769,0.000606539
12.9333,0.0990111,0.0290636,0.0146763,0.000606285
12.95,0.0990358,0.0290621,0.0146758,0.000605863
12.9667,0.0990606,0.0290625,0.0146748,0.000605102
12.9833,0.099086,0.0290633,0.0146755,0.000604933
13,0.0991108,0.0290623,0.0146764,0.000605694
13.0167,0.0991363,0.0290623,0.014677,0.000605525
13.0333,0.0991621,0.0290619,0.0146755,0.000605017
13.05,0.0991859,0.029062,0.0146757,0.000605102
13.0667,0.0992107,0.0290633,0.0146752,0.000605187
13.0833,0.099235,0.0290639,0.014676,0.000605609
13.1,0.0992606,0.0290642,0.0146747,0.000604933
13.1167,0.0992842,0.0290632,0.0146747,0.000606032
13.1333,0.0993085,0.0290648,0.0146749,0.000604679
13.15,0.0993332,0.0290659,0.0146758,0.000604257
13.1667,0.0993577,0.0290671,0.0146761,0.000605694
13.1833,0.0993828,0.0290665,0.0146758,0.000605863
13.2,0.0994071,0.0290663,0.0146764,0.000606539
13.2167,0.0994316,0.0290661,0.0146769,0.000606623
13.2333,0.099457,0.0290653,0.0146769,0.000606961
13.25,0.0994813,0.0290662,0.0146769,0.00060637
13.2667,0.099505,0.0290678,0.0146776,0.00060713
13.2833,0.0995303,0.0290675,0.0146772,0.000606454
13.3,0.0995558,0.0290681,0.0146763,0.00060544
13.3167,0.0995804,0.0290679,0.0146763,0.000606708
13.3333,0.099605,0.0290677,0.0146774,0.000607722
13.35,0.0996293,0.0290675,0.0146787,0.000607468
13.3667,0.0996529,0.0290686,0.0146779,0.00060713
13.3833,0.0996781,0.0290691,0.0146772,0.00060637
13.4,0.0997029,0.0290697,0.0146779,0.00060713
13.4167,0.0997276,0.0290707,0.0146773,0.000607468
13.4333,0.099751,0.0290702,0.0146772,0.000606285
13.45,0.0997757,0.0290695,0.0146768,0.00060544
13.4667,0.0998005,0.0290691,0.0146762,0.000605947
13.4833,0.0998264,0.0290711,0.0146763,0.000605525
13.5,0.0998513,0.029072,0.0146767,0.000606285
13.5167,0.099876,0.0290715,0.0146778,0.000607384
13.5333,0.0998998,0.0290717,0.0146774,0.000605863
13.55,0.0999241,0.0290721,0.0146765,0.000605778
13.5667,0.099947,0.0290734,0.0146775,0.000606877
13.5833,0.0999713,0.0290732,0.0146771,0.000605694
13.6,0.0999959,0.0290731,0.014676,0.000605947
13.6167,0.100023,0.0290739,0.0146758,0.000605694
13.6333,0.100047,0.0290748,0.0146756,0.000605356
13.65,0.100072,0.0290752,0.0146762,0.000606708
13.6667,0.100096,0.0290747,0.0146769,0.000606116
13.6833,0.100121,0.0290757,0.0146763,0.000605863
13.7,0.100145,0.0290755,0.0146764,0.000605609
13.7167,0.100169,0.0290755,0.014676,0.000605778
13.7333,0.100194,0.0290772,0.0146765,0.000606285
13.75,0.100217,0.0290763,0.0146778,0.000606285
13.7667,0.100241,0.0290771,0.0146772,0.000606032
13.7833,0.100266,0.0290761,0.0146773,0.000606792
13.8,0.10029,0.0290769,0.0146774,0.000607215
13.8167,0.100314,0.0290774,0.0146776,0.000606116
13.8333,0.100339,0.0290773,0.0146772,0.000604764
13.85,0.100363,0.0290768,0.0146777,0.000605863
13.8667,0.100387,0.0290768,0.0146769,0.000605187
13.8833,0.100411,0.0290779,0.0146764,0.000605017
13.9,0.100435,0.0290786,0.0146776,0.000606285
13.9167,0.10046,0.0290779,0.0146768,0.000605525
13.9333,0.100483,0.0290784,0.0146767,0.000605525
13.95,0.100508,0.0290785,0.0146765,0.000606285
13.9667,0.100533,0.0290791,0.0146762,0.000605525
13.9833,0.100557,0.0290793,0.0146762,0.000605356
14,0.100582,0.0290793,0.0146763,0.000605187
14.0167,0.100605,0.0290795,0.0146752,0.000605694
14.0333,0.100629,0.0290797,0.014676,0.000606454
14.05,0.100652,0.0290795,0.0146759,0.000606116
14.0667,0.100677,0.0290803,0.0146776,0.000606877
14.0833,0.100702,0.0290801,0.0146769,0.000606539
14.1,0.100726,0.0290808,0.0146773,0.000606961
14.1167,0.100749,0.0290818,0.0146766,0.000606032
14.1333,0.100774,0.0290811,0.0146772,0.000606708
14.15,0.100799,0.0290828,0.0146771,0.000606877
14.1667,0.100822,0.0290844,0.0146771,0.000606708
14.1833,0.100847,0.0290843,0.0146779,0.000607215
14.2,0.100871,0.029085,0.0146775,0.000607215
14.2167,0.100895,0.0290853,0.0146774,0.000607722
14.2333,0.10092,0.0290863,0.0146763,0.000607468
14.25,0.100944,0.0290858,0.0146772,0.000605947
14.2667,0.100969,0.029086,0.0146767,0.000606539
14.2833,0.100993,0.0290866,0.0146769,0.00060637
14.3,0.101016,0.0290866,0.0146774,0.000606708
14.3167,0.10104,0.0290867,0.0146758,0.000606539
14.3333,0.101063,0.0290879,0.0146769,0.000606961
14.35,0.101088,0.029087,0.014677,0.000607046
14.3667,0.101112,0.0290868,0.0146771,0.000606961
14.3833,0.101136,0.0290867,0.0146778,0.000607891
14.4,0.101159,0.0290861,0.0146779,0.00060806
14.4167,0.101184,0.0290876,0.0146775,0.000607637
14.4333,0.101208,0.0290875,0.0146782,0.000607215
14.45,0.101232,0.0290878,0.0146769,0.000607215
14.4667,0.101256,0.0290872,0.0146774,0.000607046
14.4833,0.10128,0.0290875,0.0146767,0.000606623
14.5,0.101304,0.0290893,0.0146775,0.000606539
14.5167,0.101327,0.0290898,0.0146777,0.000607299
14.5333,0.101351,0.029089,0.0146783,0.000607215
14.55,0.101375,0.0290912,0.0146777,0.000607806
14.5667,0.101398,0.0290916,0.0146769,0.000606961
14.5833,0.101424,0.0290915,0.0146762,0.000606032
14.6,0.10145,0.0290938,0.0146766,0.000605609
14.6167,0.101473,0.0290935,0.0146752,0.000605356
14.6333,0.101495,0.0290943,0.0146759,0.000605356
14.65,0.10152,0.0290939,0.014675,0.000605187
14.6667,0.101544,0.0290939,0.0146763,0.000605778
14.6833,0.101569,0.0290943,0.0146759,0.000605102
14.7,0.101592,0.0290952,0.0146749,0.000604764
14.7167,0.101617,0.0290946,0.0146745,0.000604764
14.7333,0.101639,0.0290956,0.0146754,0.000605694
14.75,0.101663,0.0290953,0.0146759,0.000604848
14.7667,0.101687,0.0290956,0.0146757,0.000605694
14.7833,0.10171,0.0290951,0.0146757,0.000604172
14.8,0.101732,0.029097,0.0146772,0.000604933
14.8167,0.101756,0.0290984,0.0146775,0.000606032
14.8333,0.101781,0.0290976,0.0146764,0.000604933
14.85,0.101805,0.0290983,0.0146763,0.000605356
14.8667,0.101829,0.0290992,0.014675,0.000604764
14.8833,0.101853,0.0290988,0.0146758,0.000605187
14.9,0.101875,0.0291001,0.0146758,0.00060544
14.9167,0.101899,0.0290991,0.0146768,0.000605102
14.9333,0.101921,0.0290998,0.0146769,0.000605187
